01/2002;LA CAPITAL;SANTA FE;138
02/2002;LA CAPITAL;SANTA FE;22
03/2002;LA CAPITAL;SANTA FE;161
04/2002;LA CAPITAL;SANTA FE;152
05/2002;LA CAPITAL;SANTA FE;74
06/2002;LA CAPITAL;SANTA FE;0
07/2002;LA CAPITAL;SANTA FE;47
08/2002;LA CAPITAL;SANTA FE;12
09/2002;LA CAPITAL;SANTA FE;108
10/2002;LA CAPITAL;SANTA FE;249
11/2002;LA CAPITAL;SANTA FE;211
12/2002;LA CAPITAL;SANTA FE;294
01/2003;LA CAPITAL;SANTA FE;85
02/2003;LA CAPITAL;SANTA FE;271
03/2003;LA CAPITAL;SANTA FE;193
04/2003;LA CAPITAL;SANTA FE;192
05/2003;LA CAPITAL;SANTA FE;101
06/2003;LA CAPITAL;SANTA FE;2
07/2003;LA CAPITAL;SANTA FE;34
08/2003;LA CAPITAL;SANTA FE;89
09/2003;LA CAPITAL;SANTA FE;54
10/2003;LA CAPITAL;SANTA FE;82
11/2003;LA CAPITAL;SANTA FE;32
12/2003;LA CAPITAL;SANTA FE;0
01/2004;LA CAPITAL;SANTA FE;71
02/2004;LA CAPITAL;SANTA FE;51
03/2004;LA CAPITAL;SANTA FE;132
04/2004;LA CAPITAL;SANTA FE;297
05/2004;LA CAPITAL;SANTA FE;2
06/2004;LA CAPITAL;SANTA FE;26
07/2004;LA CAPITAL;SANTA FE;4
08/2004;LA CAPITAL;SANTA FE;0
09/2004;LA CAPITAL;SANTA FE;15
10/2004;LA CAPITAL;SANTA FE;90
11/2004;LA CAPITAL;SANTA FE;160
12/2004;LA CAPITAL;SANTA FE;212
01/2005;LA CAPITAL;SANTA FE;197
02/2005;LA CAPITAL;SANTA FE;74
03/2005;LA CAPITAL;SANTA FE;312
04/2005;LA CAPITAL;SANTA FE;131
05/2005;LA CAPITAL;SANTA FE;15
06/2005;LA CAPITAL;SANTA FE;89
07/2005;LA CAPITAL;SANTA FE;20
08/2005;LA CAPITAL;SANTA FE;21
09/2005;LA CAPITAL;SANTA FE;3
10/2005;LA CAPITAL;SANTA FE;77
11/2005;LA CAPITAL;SANTA FE;158
12/2005;LA CAPITAL;SANTA FE;39
01/2006;LA CAPITAL;SANTA FE;97
02/2006;LA CAPITAL;SANTA FE;128
03/2006;LA CAPITAL;SANTA FE;190
04/2006;LA CAPITAL;SANTA FE;31
05/2006;LA CAPITAL;SANTA FE;4
06/2006;LA CAPITAL;SANTA FE;100
07/2006;LA CAPITAL;SANTA FE;2
08/2006;LA CAPITAL;SANTA FE;4
09/2006;LA CAPITAL;SANTA FE;4
10/2006;LA CAPITAL;SANTA FE;83
11/2006;LA CAPITAL;SANTA FE;63
12/2006;LA CAPITAL;SANTA FE;248
01/2007;LA CAPITAL;SANTA FE;60
02/2007;LA CAPITAL;SANTA FE;46
03/2007;LA CAPITAL;SANTA FE;557
04/2007;LA CAPITAL;SANTA FE;118
05/2007;LA CAPITAL;SANTA FE;27
06/2007;LA CAPITAL;SANTA FE;19
07/2007;LA CAPITAL;SANTA FE;0
08/2007;LA CAPITAL;SANTA FE;16
09/2007;LA CAPITAL;SANTA FE;167
10/2007;LA CAPITAL;SANTA FE;128
11/2007;LA CAPITAL;SANTA FE;2
12/2007;LA CAPITAL;SANTA FE;130
01/2009;LA CAPITAL;SANTA FE;55
02/2009;LA CAPITAL;SANTA FE;154
03/2009;LA CAPITAL;SANTA FE;187
04/2009;LA CAPITAL;SANTA FE;56
05/2009;LA CAPITAL;SANTA FE;14
06/2009;LA CAPITAL;SANTA FE;29
07/2009;LA CAPITAL;SANTA FE;85
08/2009;LA CAPITAL;SANTA FE;0
09/2009;LA CAPITAL;SANTA FE;148
10/2009;LA CAPITAL;SANTA FE;79
11/2009;LA CAPITAL;SANTA FE;256
12/2009;LA CAPITAL;SANTA FE;0
01/2010;LA CAPITAL;SANTA FE;115
02/2010;LA CAPITAL;SANTA FE;408
03/2010;LA CAPITAL;SANTA FE;61
04/2010;LA CAPITAL;SANTA FE;68
05/2010;LA CAPITAL;SANTA FE;87
06/2010;LA CAPITAL;SANTA FE;0
07/2010;LA CAPITAL;SANTA FE;0
08/2010;LA CAPITAL;SANTA FE;0
09/2010;LA CAPITAL;SANTA FE;77
10/2010;LA CAPITAL;SANTA FE;45
11/2010;LA CAPITAL;SANTA FE;41
12/2010;LA CAPITAL;SANTA FE;108
01/2011;LA CAPITAL;SANTA FE;118
02/2011;LA CAPITAL;SANTA FE;169
03/2011;LA CAPITAL;SANTA FE;99
04/2011;LA CAPITAL;SANTA FE;91
05/2011;LA CAPITAL;SANTA FE;96
06/2011;LA CAPITAL;SANTA FE;63
07/2011;LA CAPITAL;SANTA FE;30
08/2011;LA CAPITAL;SANTA FE;38
09/2011;LA CAPITAL;SANTA FE;9
10/2011;LA CAPITAL;SANTA FE;86
11/2011;LA CAPITAL;SANTA FE;157
12/2011;LA CAPITAL;SANTA FE;43
01/2012;LA CAPITAL;SANTA FE;61
02/2012;LA CAPITAL;SANTA FE;127
03/2012;LA CAPITAL;SANTA FE;152
04/2012;LA CAPITAL;SANTA FE;10
05/2012;LA CAPITAL;SANTA FE;77
06/2012;LA CAPITAL;SANTA FE;11
07/2012;LA CAPITAL;SANTA FE;10
08/2012;LA CAPITAL;SANTA FE;148
09/2012;LA CAPITAL;SANTA FE;82
10/2012;LA CAPITAL;SANTA FE;244
11/2012;LA CAPITAL;SANTA FE;114
12/2012;LA CAPITAL;SANTA FE;232
01/2013;LA CAPITAL;SANTA FE;52
02/2013;LA CAPITAL;SANTA FE;19
03/2013;LA CAPITAL;SANTA FE;111
04/2013;LA CAPITAL;SANTA FE;215
05/2013;LA CAPITAL;SANTA FE;16
06/2013;LA CAPITAL;SANTA FE;17
07/2013;LA CAPITAL;SANTA FE;0
08/2013;LA CAPITAL;SANTA FE;8
09/2013;LA CAPITAL;SANTA FE;8
10/2013;LA CAPITAL;SANTA FE;79
11/2013;LA CAPITAL;SANTA FE;242
12/2013;LA CAPITAL;SANTA FE;62
01/2014;LA CAPITAL;SANTA FE;144
02/2014;LA CAPITAL;SANTA FE;257
03/2014;LA CAPITAL;SANTA FE;183
04/2014;LA CAPITAL;SANTA FE;102
05/2014;LA CAPITAL;SANTA FE;30
06/2014;LA CAPITAL;SANTA FE;13
07/2014;LA CAPITAL;SANTA FE;47
08/2014;LA CAPITAL;SANTA FE;0
09/2014;LA CAPITAL;SANTA FE;91
10/2014;LA CAPITAL;SANTA FE;42
11/2014;LA CAPITAL;SANTA FE;74
12/2014;LA CAPITAL;SANTA FE;75
01/2015;LA CAPITAL;SANTA FE;173
02/2015;LA CAPITAL;SANTA FE;209
03/2015;LA CAPITAL;SANTA FE;161
04/2015;LA CAPITAL;SANTA FE;0
05/2015;LA CAPITAL;SANTA FE;0
06/2015;LA CAPITAL;SANTA FE;0
07/2015;LA CAPITAL;SANTA FE;14
08/2015;LA CAPITAL;SANTA FE;81
09/2015;LA CAPITAL;SANTA FE;49
10/2015;LA CAPITAL;SANTA FE;0
11/2015;LA CAPITAL;SANTA FE;63
12/2015;LA CAPITAL;SANTA FE;0
